"","Team","Rk.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","3PAr","TS%","eFG%","TOV%","ORB%","FT/FGA","DRB%","Arena","Attend.","Attend./G","Rk.y","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","i"
"630","League Average","","27.2","","","41","41","0.00","0.00","0.00","103.6","103.6","91.0",".302",".182",".519",".474","14.0","28.5",".229","71.5","","692,220","16,883",NA,82,242,35.7,80.8,0.442,5.1,14.7,0.349,30.6,66.1,0.463,18.5,24.4,0.758,12,30.3,42.3,21.5,7.9,5,14.9,21.8,95.1,2003
"631","Los Angeles Clippers","23","25.3","27","55","29","53","-4.12","0.68","-3.45","102.3","106.8","91.3",".335",".182",".516",".481","13.1","29.1",".222","70.2","STAPLES Center","706,471","17,231",20,82,240.9,34.6,79.1,0.437,4.8,14.4,0.331,29.8,64.8,0.46,19.9,26.5,0.75,12.3,30,42.3,19.6,7,5.6,15.7,21.8,93.8,2003
"632","Los Angeles Lakers*","9","28.1","50","32","48","34","2.33","0.38","2.71","107.2","104.7","92.5",".311",".199",".528",".477","13.4","30.2",".241","72.7","STAPLES Center","777,888","18,973",4,82,243,37.7,83.6,0.451,5.9,16.7,0.356,31.8,66.9,0.475,19,26,0.734,13.1,31.1,44.3,23.3,7.8,5.7,14.5,22.9,100.4,2003
"633","Memphis Grizzlies","22","24.9","28","54","32","50","-3.23","0.63","-2.60","103.9","107.3","92.7",".287",".190",".526",".491","13.4","27.0",".197","68.7","Pyramid Arena","611,322","14,910",8,82,243,37.2,82.2,0.452,5.7,15.6,0.365,31.5,66.6,0.473,17.4,23.6,0.739,11.5,30.1,41.6,23.1,7.9,6.1,15.4,20.5,97.5,2003
"634","Miami Heat","25","26.5","25","57","25","57","-5.05","-0.08","-5.13","96.7","102.4","87.8",".259",".169",".483",".470","14.1","26.8",".257","73.9","AmericanAirlines Arena","628,242","15,323",28,82,241.8,32.8,79.5,0.412,4.2,13.4,0.316,28.5,66.1,0.432,15.8,20.6,0.765,11.6,30,41.6,18.3,7.2,4,14.2,22.6,85.6,2003
"635","Milwaukee Bucks*","16","29.3","42","40","42","40","0.23","-0.48","-0.24","108.8","108.6","90.4",".287",".229",".543",".494","13.5","25.6",".237","69.9","Bradley Center","665,966","16,243",5,82,242.7,37.1,81.3,0.457,7.1,18.6,0.383,30,62.7,0.478,18.1,23.3,0.776,10.7,28.9,39.5,22.2,7.6,4.2,12.7,22.2,99.5,2003
"636","Minnesota Timberwolves*","10","28.2","51","31","47","35","2.07","0.39","2.46","106.1","103.8","91.9",".268",".118",".528",".472","12.7","28.2",".203","72.9","Target Center","643,684","15,700",7,82,241.5,38.7,83,0.466,3.6,9.8,0.368,35.1,73.2,0.479,17.1,22.3,0.77,11.7,31.9,43.6,25.2,6.7,5.3,13.7,20.8,98.1,2003
"637","New Jersey Nets*","4","27.3","49","33","56","26","5.22","-0.80","4.42","103.8","98.1","91.6",".333",".158",".518",".460","15.7","28.7",".225","73.1","Continental Airlines Arena","622,574","15,185",14,82,240.9,35.4,80.3,0.441,4.2,12.7,0.332,31.2,67.6,0.462,20.3,26.8,0.757,12.1,30.8,42.9,23,8.7,4.6,14.8,21.6,95.4,2003
"638","New Orleans Hornets*","14","29.1","47","35","47","35","2.11","-0.59","1.52","103.9","101.6","89.4",".285",".161",".511",".464","14.0","31.7",".226","73.1","New Orleans Arena","641,683","15,651",19,82,242.7,35.5,81.6,0.435,4.9,13.1,0.376,30.6,68.5,0.447,17.9,23.3,0.768,13.4,30.2,43.6,22,8,4.8,14.8,21.6,93.9,2003
"639","New York Knicks","21","30.2","37","45","37","45","-1.35","-0.26","-1.61","104.7","106.2","90.7",".241",".235",".528",".485","13.7","24.4",".261","71.8","Madison Square Garden (IV)","779,479","19,012",11,82,242.1,36.2,82,0.441,7.4,19.3,0.383,28.8,62.7,0.459,16.1,19.8,0.815,10.3,29,39.2,22,7.1,3.1,14,23,95.9,2003
"640","Orlando Magic*","17","26.9","42","40","41","41","0.13","-0.53","-0.39","105.2","105.0","93.1",".307",".235",".526",".486","15.1","27.0",".250","71.1","TD Waterhouse Centre","605,901","14,778",6,82,241.5,35.9,82.5,0.436,6.9,19.4,0.357,29,63.1,0.46,19.7,25.4,0.777,11.7,29.2,40.9,20.4,8.5,3.7,14.4,23,98.5,2003
"641","Philadelphia 76ers*","12","28.3","48","34","48","34","2.30","-0.55","1.76","105.0","102.5","91.4",".339",".119",".520",".488","16.2","30.3",".243","72.7","First Union Center","807,097","19,685",9,82,242.1,36.3,81,0.448,3,9.6,0.311,33.3,71.4,0.466,21.3,27.5,0.775,12.7,29.5,42.2,21.6,10.3,3.5,14.8,22,96.8,2003
"642","Phoenix Suns*","13","25.2","44","38","44","38","1.13","0.43","1.57","103.7","102.5","91.5",".285",".170",".514",".470","14.8","29.7",".222","70.3","America West Arena","666,559","16,258",13,82,241.5,36.6,82.6,0.443,4.8,14,0.343,31.8,68.6,0.464,17.4,23.5,0.742,12.8,29.8,42.5,21,8.1,4.9,14.7,22,95.5,2003
"643","Portland Trail Blazers*","6","29.2","50","32","49","33","2.61","0.36","2.97","105.5","102.6","89.4",".300",".177",".531",".483","14.9","30.2",".194","72.3","Rose Garden Arena","796,258","19,421",15,82,242.1,36.4,79.2,0.46,4.6,14,0.33,31.8,65.1,0.488,17.7,23.7,0.745,12.1,29,41.1,22.7,8.8,3.9,15.2,19.9,95.2,2003
"644","Sacramento Kings*","2","28.3","59","23","59","23","6.50","0.18","6.68","105.9","99.1","95.4",".262",".184",".535",".446","13.6","25.6",".204","70.6","ARCO Arena (II)","709,997","17,317",3,82,241.8,39.5,85.2,0.464,6,15.7,0.381,33.5,69.5,0.482,16.7,22.3,0.746,11,33.5,44.5,24.8,9,5.6,14.5,20.3,101.7,2003
"645","San Antonio Spurs*","3","28.4","60","22","57","25","5.41","0.23","5.65","105.6","99.7","90.0",".348",".202",".541",".453","14.2","28.8",".199","71.3","SBC Center","735,970","17,950",12,82,241.8,35.5,76.8,0.462,5.5,15.5,0.354,30,61.3,0.489,19.4,26.8,0.725,11.5,31.2,42.6,20,7.7,6.5,15.8,20.4,95.8,2003
"646","Seattle SuperSonics","15","26.9","40","42","41","41","-0.12","0.49","0.37","103.7","103.9","88.0",".270",".196",".512",".484","14.3","28.1",".210","71.8","KeyArena at Seattle Center","637,194","15,541",23,82,242.1,35.2,80.5,0.437,5.6,15.7,0.353,29.6,64.7,0.458,16.2,21.7,0.744,11.7,29.1,40.8,21.6,8.3,3.6,13.2,20.9,92.1,2003
"647","Toronto Raptors","27","27.6","24","58","24","58","-5.87","-0.23","-6.10","100.5","107.0","89.9",".282",".179",".497",".489","13.1","28.2",".226","70.7","Air Canada Centre","777,507","18,964",27,82,241.5,34.7,81.3,0.427,5,14.5,0.343,29.7,66.7,0.446,16.5,22.9,0.718,12.5,28.7,41.2,19.3,7.4,4.8,14.4,21.5,90.9,2003
"648","Utah Jazz*","8","30.9","47","35","48","34","2.39","0.37","2.76","105.5","102.8","89.3",".380",".104",".537",".468","15.2","32.5",".256","70.2","Delta Center","786,034","19,172",17,82,241.2,35.3,75.5,0.468,2.7,7.8,0.349,32.6,67.7,0.481,21.3,28.6,0.745,12.5,29,41.5,25.6,8.6,5.7,16.8,22.4,94.7,2003
"649","Washington Wizards","20","28.4","37","45","38","44","-1.01","-0.46","-1.47","103.0","104.1","88.2",".325",".127",".513",".477","13.8","27.3",".212","71.6","MCI Center","827,093","20,173",24,82,241.8,34.3,78,0.44,3.1,9.9,0.312,31.3,68.1,0.459,19.7,25.3,0.779,11.2,29.2,40.4,19.7,7.6,4.8,13.4,20,91.5,2003
"650","Atlanta Hawks","26","26.2","28","54","28","54","-4.65","-0.36","-5.00","101.0","106.1","90.8",".303",".191",".514",".476","13.1","28.6",".234","70.5","Philips Arena","565,728","13,798",15,82,242.7,34.5,79.6,0.433,5.1,15.2,0.335,29.4,64.4,0.456,18.7,24.1,0.776,12.1,30.6,42.7,20.1,7.6,5,16.5,22.3,92.8,2004
"651","Boston Celtics*","20","26.4","36","46","37","45","-1.45","-0.54","-1.99","102.1","103.7","93.2",".327",".249",".532",".479","15.7","25.2",".240","69.5","FleetCenter","664,248","16,201",8,82,240.3,34.7,78.2,0.443,6.7,19.5,0.346,27.9,58.7,0.475,19.2,25.5,0.75,10.4,29.8,40.1,20.5,9.4,4,16.2,22.4,95.3,2004
"652","Chicago Bulls","28","26.8","23","59","23","59","-6.35","-0.33","-6.69","96.6","103.4","92.2",".272",".186",".486",".469","14.1","28.1",".253","71.4","United Center","809,177","19,736",26,82,241.8,34.1,82.4,0.414,5.2,15.3,0.342,28.9,67,0.431,16.2,22.4,0.725,12.8,30.7,43.5,21.9,8,4.8,16.1,23.3,89.7,2004
"653","Cleveland Cavaliers","23","24.9","35","47","33","49","-2.62","-0.44","-3.07","101.4","104.2","90.8",".301",".116",".498",".469","12.3","31.1",".221","73.0","Gund Arena","749,790","18,288",14,82,242.1,35.6,82.4,0.433,3,9.6,0.314,32.6,72.8,0.448,18.6,24.8,0.753,13.6,31.9,45.6,22,7.1,6.5,14.8,21.3,92.9,2004
"654","Dallas Mavericks*","6","27.4","52","30","53","29","4.44","0.42","4.86","112.1","107.4","93.2",".256",".201",".536",".498","13.9","31.4",".214","71.6","American Airlines Center","825,594","20,136",1,82,241.5,40.5,88.2,0.459,6.2,17.8,0.348,34.3,70.4,0.488,18,22.6,0.796,14.3,31,45.3,23.9,8,5.3,12.2,19.6,105.2,2004
"655","Denver Nuggets*","11","25.6","43","39","44","38","1.07","0.58","1.65","103.9","102.7","93.3",".319",".146",".517",".481","15.6","30.5",".221","69.3","Pepsi Center","721,476","17,597",5,82,240.6,36.5,82.5,0.443,4,12,0.336,32.5,70.5,0.461,20.2,26.3,0.767,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22,97.2,2004
"656","Detroit Pistons*","4","27.4","54","28","59","23","5.84","-0.81","5.04","102.0","95.4","87.9",".328",".153",".511",".441","15.5","30.1",".202","71.8","The Palace of Auburn Hills","872,902","21,290",24,82,241.2,33.5,77,0.435,4.1,11.8,0.344,29.4,65.2,0.452,19,25.3,0.753,12.4,30.4,42.8,20.8,8,7,15.1,20.3,90.1,2004
"657","Golden State Warriors","14","28.1","37","45","39","43","-0.73","0.66","-0.07","103.0","103.8","89.8",".311",".197",".517",".476","13.3","28.4",".211","72.1","The Arena in Oakland","665,648","16,235",13,82,242.1,35.1,79.4,0.442,5.2,15.6,0.334,29.8,63.8,0.468,17.9,24.7,0.725,12.2,30.9,43.1,20.5,7,4.7,14.8,20.6,93.3,2004
"658","Houston Rockets*","9","28.3","45","37","47","35","1.73","0.55","2.28","100.9","99.0","87.8",".286",".227",".528",".447","13.1","26.5",".233","74.5","Toyota Center","640,794","15,629",25,82,243,33.4,75.5,0.442,6.3,17.1,0.366,27.1,58.4,0.464,16.7,21.6,0.773,10.3,32.3,42.6,19.3,6.8,5.4,16.7,21.5,89.8,2004
"659","Indiana Pacers*","5","27.1","61","21","58","24","5.76","-0.82","4.93","103.8","97.2","87.5",".319",".203",".520",".459","15.7","28.5",".218","73.9","Conseco Fieldhouse","678,326","16,545",20,82,241.5,33.6,77.1,0.435,5.5,15.6,0.351,28.1,61.5,0.457,18.8,24.6,0.764,11.8,29.9,41.7,21.6,8.9,5,14.4,20.8,91.4,2004
"660","League Average","","27.2","","","41","41","0.00","0.00","0.00","102.9","102.9","90.1",".303",".187",".516",".471","14.2","28.6",".228","71.4","","699,041","17,046",NA,82,241.7,35,79.8,0.439,5.2,14.9,0.347,29.8,64.9,0.46,18.2,24.2,0.752,12.1,30.1,42.2,21.3,7.9,5.1,15,21.4,93.4,2004
"661","Los Angeles Clippers","25","24.3","28","54","28","54","-4.59","0.84","-3.74","103.5","108.5","91.0",".350",".156",".512",".494","12.9","32.8",".231","70.0","STAPLES Center","665,396","16,143",9,82,241.5,34.4,80.2,0.428,4,12.5,0.321,30.3,67.7,0.448,22,28.1,0.785,14,29.5,43.5,20.2,7.2,4.6,16.4,22.1,94.8,2004
"662","Los Angeles Lakers*","7","29.8","56","26","52","30","3.90","0.45","4.35","105.5","101.3","92.3",".352",".167",".522",".471","14.3","28.1",".222","73.3","STAPLES Center","777,757","18,970",3,82,242.1,36.9,81.4,0.454,4.5,13.6,0.327,32.5,67.8,0.479,19.9,28.7,0.693,12.2,30.9,43.1,23.8,8.3,4.6,13.8,21.1,98.2,2004
"663","Memphis Grizzlies*","8","26.0","50","32","48","34","2.44","0.52","2.95","104.8","102.2","91.4",".322",".197",".522",".465","15.7","29.5",".251","68.4","Pyramid Arena","622,723","15,188",7,82,242.4,36.1,81.2,0.445,5.5,16,0.34,30.7,65.2,0.471,19,26.1,0.727,12.8,29,41.8,23.4,9.7,6.9,15,23.2,96.7,2004
"664","Miami Heat*","15","26.4","42","40","43","39","0.52","-0.65","-0.13","102.2","101.7","88.0",".298",".211",".510",".463","14.5","27.4",".260","73.4","AmericanAirlines Arena","624,809","15,239",22,82,240.9,33.3,78.3,0.425,5.9,16.5,0.357,27.4,61.7,0.443,17.8,23.4,0.762,11.5,30,41.5,19.1,7.2,3.8,13.9,22.1,90.3,2004
"665","Milwaukee Bucks*","12","26.5","41","41","44","38","1.06","-0.64","0.42","106.5","105.4","91.6",".330",".172",".528",".485","13.3","27.6",".213","71.8","Bradley Center","690,180","16,834",4,82,241.2,36.2,81.1,0.447,4.9,14,0.35,31.3,67.1,0.467,20.7,26.7,0.775,11.7,30.5,42.2,22.8,6.8,4.7,13.5,20.3,98,2004
"666","Minnesota Timberwolves*","2","29.7","58","24","57","25","5.49","0.37","5.86","105.9","99.7","89.0",".265",".137",".528",".444","12.9","26.7",".215","72.5","Target Center","723,071","17,636",10,82,240.9,37,80.1,0.462,4,10.9,0.363,33,69.2,0.477,16.6,21.3,0.781,10.7,32.3,42.9,23,6.8,5.6,12.7,21.1,94.5,2004
"667","New Jersey Nets*","10","27.7","47","35","49","33","2.50","-0.63","1.88","100.8","98.0","89.4",".291",".176",".515",".460","15.7","25.9",".221","73.9","Continental Airlines Arena","613,051","14,952",23,82,240.3,34.3,77.7,0.441,4.6,13.7,0.336,29.7,64,0.464,17,22.6,0.753,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21,90.3,2004
"668","New Orleans Hornets*","18","30.3","41","41","41","41","-0.10","-0.62","-0.72","102.3","102.4","89.1",".293",".252",".505",".476","15.0","30.6",".218","71.3","New Orleans Arena","587,613","14,332",17,82,241.8,33.8,80.5,0.42,6.5,20.3,0.319,27.3,60.2,0.454,17.7,23.6,0.751,13.3,29.5,42.8,20.9,8.6,4.2,15,20.9,91.8,2004
"669","New York Knicks*","19","29.6","39","43","36","46","-1.48","-0.49","-1.97","101.7","103.3","89.5",".266",".171",".518",".461","13.2","28.0",".259","72.8","Madison Square Garden (IV)","785,739","19,164",16,82,242.4,35.1,79.4,0.442,5,13.6,0.364,30.2,65.8,0.459,16.8,21.1,0.793,11.6,31,42.6,20.7,7.4,4.8,15.7,23.1,92,2004
"670","Orlando Magic","29","25.8","21","61","22","60","-7.02","-0.23","-7.25","102.7","110.4","90.8",".296",".184",".504",".502","12.7","28.1",".214","68.7","TD Waterhouse Centre","589,144","14,369",12,82,241.8,35.4,82.5,0.429,5.2,15.2,0.344,30.2,67.3,0.448,18,24.4,0.737,12.2,28.7,40.9,19.3,6.7,3.8,13.7,21.3,94,2004
"671","Philadelphia 76ers","22","27.5","33","49","33","49","-2.49","-0.46","-2.95","99.1","101.9","88.0",".321",".158",".505",".467","14.7","28.2",".231","70.7","Wachovia Center","788,128","19,223",28,82,242.1,32.7,76.3,0.428,4.1,12.1,0.342,28.6,64.2,0.445,18.4,24.5,0.753,11.5,29.4,40.8,20,8,4.4,15.9,20.7,88,2004
"672","Phoenix Suns","21","24.4","29","53","30","52","-3.74","0.80","-2.94","101.4","105.5","92.6",".280",".180",".515",".482","14.7","26.6",".240","69.9","America West Arena","670,385","16,351",11,82,240.6,36.1,81.4,0.443,5.1,14.7,0.345,31,66.7,0.465,17,22.7,0.746,11.3,29.3,40.6,19.3,9,4.7,15.2,22.7,94.2,2004
"673","Portland Trail Blazers","17","27.6","41","41","37","45","-1.27","0.69","-0.58","103.7","105.1","86.2",".267",".170",".515",".482","13.3","31.2",".186","70.0","Rose Garden Arena","684,038","16,684",21,82,243.7,35.3,78.9,0.448,4.6,13.4,0.346,30.7,65.4,0.469,15.4,21.1,0.731,12.7,29,41.7,21.6,7.5,5.4,14.8,19,90.7,2004
"674","Sacramento Kings*","3","29.3","55","27","55","27","5.01","0.40","5.41","110.3","104.9","92.8",".305",".223",".554",".483","13.7","26.0",".193","69.8","ARCO Arena (II)","709,997","17,317",2,82,241.2,37.8,81.8,0.462,7.3,18.3,0.401,30.5,63.6,0.48,19.8,24.9,0.795,10.8,30.4,41.2,26.2,8.7,4,13.9,19.3,102.8,2004
"675","San Antonio Spurs*","1","27.3","57","25","62","20","7.22","0.29","7.51","102.2","94.1","89.2",".322",".177",".511",".433","14.8","29.5",".215","74.6","SBC Center","739,706","18,042",19,82,240.9,34.7,78.5,0.442,5,13.9,0.358,29.7,64.6,0.46,17.2,25.2,0.681,12.5,32.5,45.1,20.4,8.1,6.5,14.7,20.3,91.5,2004
"676","Seattle SuperSonics","13","26.0","37","45","39","43","-0.63","0.66","0.02","107.3","108.0","89.9",".270",".294",".540",".487","13.9","27.2",".237","68.5","KeyArena at Seattle Center","625,474","15,154",6,82,241.5,35.8,80.4,0.446,8.8,23.6,0.373,27,56.8,0.476,16.6,21.7,0.765,11.1,28.3,39.3,21.7,8.1,4.7,14.5,21.8,97.1,2004
"677","Toronto Raptors","24","27.6","33","49","31","51","-3.01","-0.40","-3.42","97.0","100.4","86.8",".260",".204",".495",".449","14.1","23.8",".241","70.1","Air Canada Centre","750,608","18,308",29,82,243.7,32.4,77.4,0.418,5.6,15.8,0.356,26.7,61.6,0.434,15.1,20.1,0.75,10.1,29.5,39.6,19.2,7.4,4.9,14.2,21.3,85.4,2004
"678","Utah Jazz","16","24.9","42","40","37","45","-1.22","0.69","-0.53","101.9","103.3","86.6",".356",".127",".509",".468","15.4","34.1",".319","72.4","Delta Center","785,330","19,154",27,82,241.2,32.8,75.3,0.436,3.1,9.6,0.321,29.7,65.7,0.453,20,26.8,0.746,13.5,27.7,41.2,20.4,7.1,6,16.6,25.6,88.7,2004
"679","Washington Wizards","27","24.4","25","57","25","57","-5.63","-0.48","-6.12","98.8","104.8","92.2",".337",".194",".500",".486","14.9","30.7",".214","69.5","MCI Center","645,363","15,741",18,82,241.8,33.6,80,0.421,5.3,15.5,0.341,28.4,64.5,0.44,19.3,27,0.714,13.6,29.2,42.8,18.7,8.9,5,17.5,20.9,91.8,2004
"680","Atlanta Hawks","30","26.0","13","69","16","66","-9.71","0.09","-9.62","100.6","111.1","91.4",".299",".146",".504",".513","14.0","30.7",".289","72.1","Philips Arena","586,390","14,302",28,82,242.1,35.9,81.4,0.441,3.7,11.9,0.312,32.2,69.5,0.463,17.3,24.3,0.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,92.7,2005
"681","Boston Celtics*","14","27.1","45","37","43","39","0.87","-0.52","0.35","107.5","106.6","93.3",".357",".192",".551",".481","14.2","27.2",".274","70.1","FleetCenter","656,081","16,002",5,82,242.4,37.1,79.4,0.468,5.3,15.3,0.349,31.8,64.1,0.496,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,2005
"682","Charlotte Bobcats","28","24.9","18","64","24","58","-5.99","-0.16","-6.15","101.1","107.5","92.3",".306",".128",".497",".497","14.7","29.5",".269","70.9","Charlotte Coliseum","591,701","14,432",22,82,242.4,36.1,83.6,0.432,3.9,10.7,0.363,32.2,72.9,0.442,18.1,25.6,0.709,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,94.3,2005
"683","Chicago Bulls*","12","25.0","47","35","44","38","1.06","-0.41","0.65","101.4","100.3","92.4",".311",".217",".517",".454","14.4","28.4",".262","72.6","United Center","828,384","20,204",21,82,241.8,34.7,80.4,0.432,6.2,17.5,0.357,28.5,62.9,0.453,18.7,25,0.75,12.2,31.6,43.8,21.3,7,4.5,16.7,24.7,94.5,2005
"684","Cleveland Cavaliers","15","26.5","42","40","43","39","0.79","-0.52","0.27","106.6","105.7","89.7",".325",".135",".518",".485","14.1","32.5",".248","71.5","Gund Arena","784,249","19,128",17,82,242.1,36.5,81.5,0.447,3.7,11,0.332,32.8,70.5,0.465,19.9,26.5,0.752,13.6,28.7,42.3,22.6,8,5.6,13.9,22.6,96.5,2005
"685","Dallas Mavericks*","3","27.7","58","24","57","25","5.74","0.11","5.86","110.3","104.1","92.7",".346",".190",".545",".472","14.3","28.6",".239","70.2","American Airlines Center","822,533","20,062",3,82,240.6,37.3,81.6,0.457,5.6,15.5,0.364,31.6,66.1,0.479,22.3,28.2,0.789,12.1,30.9,42.9,19.6,8.6,5.6,13.4,22.3,102.5,2005
"686","Denver Nuggets*","10","26.7","49","33","47","35","2.02","0.20","2.23","106.0","103.9","93.5",".350",".142",".535",".482","15.1","28.4",".247","71.7","Pepsi Center","723,949","17,657",8,82,240.9,37,80.7,0.459,3.9,11.5,0.34,33.1,69.2,0.479,21.5,28.2,0.763,11.8,30.2,42,23.9,9.1,6,14.9,22.9,99.5,2005
"687","Detroit Pistons*","6","27.9","54","28","53","29","3.87","-0.55","3.31","105.6","101.2","87.2",".335",".164",".519",".461","13.5","31.2",".207","73.0","The Palace of Auburn Hills","905,116","22,076",24,82,243.4,34.8,78.3,0.444,4.4,12.8,0.345,30.3,65.5,0.463,19.4,26.2,0.739,12.9,30.6,43.4,21.8,7,6.1,13.8,20,93.3,2005
"688","Golden State Warriors","19","26.7","34","48","35","47","-2.16","0.42","-1.74","104.7","106.9","93.3",".278",".252",".512",".491","13.9","27.8",".227","69.7","Oakland Arena","670,368","16,350",13,82,242.7,36.9,85.8,0.43,7.6,21.6,0.352,29.3,64.2,0.457,17.2,23.8,0.722,13,29.7,42.7,22.1,7.8,5.1,13.6,22.4,98.7,2005
"689","Houston Rockets*","5","29.7","51","31","53","29","4.04","0.23","4.27","106.2","101.7","88.8",".309",".237",".534",".459","12.9","26.3",".245","74.5","Toyota Center","663,444","16,182",20,82,242.1,34.7,78.3,0.443,6.7,18.5,0.364,28,59.7,0.468,18.9,24.2,0.781,10.7,31.7,42.4,21.1,6.9,4.6,13.8,22,95.1,2005
"690","Indiana Pacers*","13","28.3","44","38","43","39","0.76","-0.27","0.49","105.5","104.6","87.2",".358",".255",".534",".472","13.6","26.4",".261","71.3","Conseco Fieldhouse","696,764","16,994",25,82,242.7,32.5,75.2,0.432,6.6,19.2,0.344,25.9,56,0.463,21.3,26.9,0.792,10.6,29.5,40.1,18.2,7.5,4.4,14.3,23,93,2005
"691","League Average","","27.1","","","41","41","0.00","0.00","0.00","106.1","106.1","90.9",".324",".196",".529",".482","13.6","28.7",".245","71.3","","709,883","17,314",NA,82,241.9,35.9,80.3,0.447,5.6,15.8,0.356,30.3,64.6,0.47,19.7,26.1,0.756,12,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,2005
"692","Los Angeles Clippers","16","25.5","37","45","39","43","-0.77","0.30","-0.47","105.5","106.4","89.1",".357",".105",".533",".480","13.0","30.3",".235","71.3","STAPLES Center","696,181","16,980",19,82,244.3,35.7,77.7,0.459,2.8,8.2,0.345,32.8,69.5,0.473,21.6,27.7,0.778,12,29.9,41.9,23.2,7.3,5.1,15.7,22.2,95.7,2005
"693","Los Angeles Lakers","22","26.0","34","48","33","49","-2.96","0.64","-2.32","108.1","111.4","90.8",".322",".273",".535",".493","11.0","29.5",".218","71.1","STAPLES Center","770,494","18,793",12,82,241.2,35.3,80.8,0.437,7.9,22.1,0.355,27.5,58.7,0.467,20.3,26.1,0.777,12.5,30.6,43.2,20.4,6.2,4.2,14.3,21.9,98.7,2005
"694","Memphis Grizzlies*","7","26.3","45","37","48","34","2.29","0.34","2.64","105.5","102.9","88.5",".323",".237",".535",".466","15.4","27.1",".270","69.9","FedEx Forum","691,362","16,862",23,82,240.3,34.2,76.5,0.447,6.5,18.1,0.357,27.7,58.4,0.475,18.6,24.7,0.754,10.8,28.1,39,20.9,8.5,5.8,14.6,23.3,93.4,2005
"695","Miami Heat*","4","28.0","59","23","59","23","6.52","-0.76","5.77","110.2","103.1","90.8",".387",".198",".559",".460","12.4","27.0",".242","74.1","AmericanAirlines Arena","815,143","19,882",4,82,243.7,37.8,77.7,0.486,5.8,15.4,0.377,32,62.3,0.513,20.2,30.1,0.672,10.8,32.2,43,21.8,6.4,5.8,13.7,22.1,101.5,2005
"696","Milwaukee Bucks","25","26.9","30","52","32","50","-2.99","-0.10","-3.09","106.6","109.8","90.8",".339",".141",".527",".499","12.4","29.0",".233","72.0","Bradley Center","637,009","15,537",15,82,241.2,36.1,80.2,0.45,4,11.3,0.351,32.2,69,0.467,21,27.2,0.772,12,29.3,41.3,21,6.5,3.5,13.8,21.9,97.2,2005
"697","Minnesota Timberwolves","11","29.0","44","38","45","37","1.45","0.28","1.73","108.2","106.6","89.1",".275",".173",".534",".472","11.2","28.6",".208","71.4","Target Center","704,438","17,181",16,82,240.9,37.1,80.8,0.459,4.8,14,0.345,32.3,66.9,0.483,17.7,22.2,0.796,11.5,31.5,43,23.4,5.6,5.5,13.2,21.6,96.8,2005
"698","New Jersey Nets*","21","27.8","42","40","36","46","-1.50","-0.32","-1.82","101.4","103.1","89.1",".318",".187",".512",".479","15.2","25.5",".278","73.2","Continental Airlines Arena","618,681","15,090",29,82,242.7,33.6,78.3,0.429,5.3,14.7,0.362,28.3,63.6,0.444,19,24.9,0.763,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,91.4,2005
"699","New Orleans Hornets","29","27.5","18","64","21","61","-7.07","0.78","-6.30","99.7","107.7","87.6",".279",".201",".493",".491","13.9","29.1",".261","70.7","New Orleans Arena","583,070","14,221",30,82,243,33.1,80,0.415,5.1,16,0.315,28.1,63.9,0.44,17.1,22.3,0.766,12.4,27.8,40.2,21,6.7,3.8,14.8,23,88.4,2005
"700","New York Knicks","24","27.3","33","49","34","48","-2.44","-0.28","-2.72","106.2","108.9","90.7",".312",".188",".531",".501","13.8","28.3",".265","71.2","Madison Square Garden (IV)","800,144","19,516",14,82,242.4,36.3,80.5,0.451,5.4,15.1,0.356,30.9,65.4,0.473,19.3,25.1,0.767,11.8,29.2,41,20.3,7.7,3.2,14.7,23.7,97.3,2005
"701","Orlando Magic","23","26.5","36","46","35","47","-2.24","-0.27","-2.52","104.9","107.3","94.7",".350",".137",".529",".484","13.2","29.9",".255","71.3","TD Waterhouse Centre","597,942","14,584",9,82,240.3,37,81.5,0.454,3.9,11.2,0.349,33.1,70.3,0.471,21.6,28.5,0.759,12.7,31,43.7,19.3,7.7,5.4,16.1,23.6,99.5,2005
"702","Philadelphia 76ers*","18","26.4","43","39","39","43","-0.74","-0.33","-1.07","103.5","104.3","94.9",".326",".216",".528",".485","15.4","25.4",".267","72.7","Wachovia Center","732,686","17,870",10,82,242.1,35.9,82.1,0.437,6.2,17.7,0.348,29.8,64.4,0.462,21.1,26.8,0.789,11.1,30.9,42,20.9,9.2,3.9,15.5,22.9,99.1,2005
