"","Team","Rk.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","3PAr","TS%","eFG%","TOV%","ORB%","FT/FGA","DRB%","Arena","Attend.","Attend./G","Rk.y","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","i"
"72","Atlanta Hawks*","16","26.6","43","39","38","44","-0.95","0.23","-0.72","102.2","103.2","98.9",".295",".026",".516",".473","15.2","30.7",".223","65.1","Omni Coliseum","292,126","",19,82,241.2,40.9,87.1,0.469,0.5,2.3,0.239,40.3,84.9,0.475,19.3,25.7,0.751,13.9,29.7,43.6,23.7,7,8.1,17.4,24.7,101.6,1983
"73","Boston Celtics*","2","27.3","56","26","55","27","5.35","-0.01","5.34","106.9","101.8","104.0",".311",".025",".536",".473","16.0","34.7",".236","68.1","Boston Garden","621,829","",7,82,241.8,45.3,92,0.492,0.5,2.3,0.21,44.8,89.8,0.499,21.1,28.6,0.737,15.5,30.9,46.4,27,9.6,6.4,18.8,25.1,112.1,1983
"74","Chicago Bulls","19","24.5","28","54","29","53","-4.89","0.48","-4.41","103.4","108.0","106.1",".365",".028",".532",".498","14.3","34.0",".237","67.9","Chicago Stadium","296,411","",9,82,242.7,43.1,89.9,0.48,0.5,2.5,0.215,42.6,87.4,0.487,24.2,32.8,0.737,15.5,30.8,46.3,25.4,8.1,4.9,21.3,26.7,111,1983
"75","Cleveland Cavaliers","22","26.4","23","59","22","60","-7.44","0.66","-6.78","99.2","106.8","97.6",".283",".017",".506",".492","13.8","33.0",".258","71.3","Coliseum at Richfield","160,537","",23,82,240.9,39.7,85.3,0.465,0.4,1.5,0.25,39.3,83.8,0.469,17.4,24.2,0.721,14.3,29.4,43.7,21.2,7.5,3.5,18.8,27.3,97.1,1983
"76","Dallas Mavericks","15","24.2","38","44","40","42","-0.41","-0.29","-0.70","109.4","109.8","102.8",".326",".025",".535",".506","14.0","34.8",".228","66.2","Reunion Arena","487,155","",5,82,240.6,44.8,92.1,0.487,0.5,2.3,0.232,44.3,89.8,0.493,22.6,30,0.752,15.8,29,44.8,27.2,6.7,4.2,16.4,25.2,112.7,1983
"77","Denver Nuggets*","12","27.2","45","37","42","40","0.62","-0.36","0.27","109.7","109.1","112.1",".337",".016",".550",".509","15.1","31.0",".220","64.8","McNichols Sports Arena","491,253","",1,82,240.6,48.2,97.5,0.494,0.3,1.5,0.19,47.9,96,0.499,26.6,32.9,0.808,14.8,30.8,45.6,28.5,9.6,4.3,18.2,25.5,123.2,1983
"78","Detroit Pistons","14","24.6","37","45","40","42","-0.40","0.24","-0.17","105.4","105.8","105.8",".340",".036",".529",".496","15.4","33.6",".214","66.2","Pontiac Silverdome","482,571","",6,82,242.4,44.2,92.7,0.477,0.9,3.3,0.265,43.3,89.4,0.484,23.4,31.6,0.742,16,30.2,46.2,25.7,8.3,7,19,25.9,112.7,1983
"79","Golden State Warriors","17","24.7","30","52","32","50","-3.62","0.14","-3.48","103.9","107.4","104.0",".293",".020",".526",".513","16.9","33.9",".241","64.6","Oakland-Alameda County Coliseum Arena","341,365","",13,82,241.2,44.2,91.6,0.483,0.4,1.8,0.227,43.8,89.7,0.488,19.8,26.8,0.737,15.6,27.9,43.5,24,10.4,5.2,19.6,26.1,108.6,1983
"80","Houston Rockets","23","29.0","14","68","14","68","-11.60","0.48","-11.12","97.0","108.3","102.2",".260",".036",".491",".505","15.4","30.8",".246","65.4","The Summit","291,315","",21,82,240.6,40.7,90.8,0.448,0.8,3.3,0.247,39.9,87.5,0.456,17.1,23.6,0.725,14.7,27.6,42.3,23.5,7.9,5.1,19.2,26,99.3,1983
"81","Indiana Pacers","21","24.9","20","62","27","55","-5.85","0.49","-5.36","103.8","109.4","103.9",".247",".031",".520",".520","16.4","33.6",".249","65.5","Market Square Arena","188,642","",12,82,241.8,45.2,94.2,0.48,0.6,2.9,0.212,44.6,91.3,0.488,17.6,23.3,0.758,15.8,28,43.8,26.2,9.2,5,18.7,25.4,108.7,1983
"82","Kansas City Kings","11","24.5","45","37","45","37","1.45","-0.41","1.04","106.2","104.9","106.6",".338",".029",".542",".490","16.8","34.3",".291","65.8","Kemper Arena","309,597","",4,82,241.2,45.4,91.3,0.497,0.6,2.6,0.237,44.7,88.7,0.505,22.4,30.9,0.727,15.3,29.4,44.7,26.3,9.3,5,20.6,29.7,113.8,1983
"83","League Average","","26.2","","","41","41","0.00","0.00","0.00","104.7","104.7","103.1",".315",".025",".531",".488","15.8","33.4",".233","66.6","","406,843","12,946",NA,82,241.3,43.5,89.7,0.485,0.5,2.3,0.238,43,87.4,0.492,20.9,28.3,0.74,14.8,29.6,44.5,25.9,8.9,5.6,19.1,25.6,108.5,1983
"84","Los Angeles Lakers*","3","26.9","58","24","55","27","5.55","-0.49","5.06","110.5","105.2","103.8",".270",".013",".561",".494","15.5","36.3",".191","65.3","The Forum","598,739","",2,82,240.6,48.3,91.6,0.528,0.1,1.2,0.104,48.2,90.4,0.533,18.2,24.8,0.736,15.1,29.7,44.7,30.7,10.3,5.8,19.3,23.5,115,1983
"85","Milwaukee Bucks*","5","28.1","51","31","53","29","4.40","-0.08","4.32","105.8","101.4","100.0",".322",".024",".537",".459","15.5","31.8",".228","65.5","MECCA Arena","425,572","",17,82,241.8,42.5,87,0.489,0.5,2.1,0.219,42.1,84.9,0.495,21.1,28,0.753,13.4,30.2,43.6,25.8,8.1,6.5,17.6,26,106.6,1983
"86","New Jersey Nets*","8","25.2","49","33","49","33","2.77","0.01","2.77","101.6","98.9","104.0",".322",".021",".532",".481","18.9","36.8",".251","68.8","Brendan Byrne Arena","530,801","12,946",18,82,240.3,42.8,87.1,0.492,0.4,1.8,0.201,42.4,85.3,0.498,19.8,28.1,0.705,15.4,29.6,45,26.1,11.1,7.2,22.8,26.4,105.8,1983
"87","New York Knicks*","9","26.5","44","38","48","34","2.45","0.13","2.58","102.4","99.9","97.0",".336",".019",".526",".478","18.1","31.6",".257","67.8","Madison Square Garden (IV)","438,823","",20,82,241.5,39.9,82.8,0.482,0.4,1.6,0.252,39.5,81.2,0.486,19.8,27.8,0.71,13.2,27.6,40.8,24.8,8.5,4.6,18.4,26.6,100,1983
"88","Philadelphia 76ers*","1","26.7","65","17","60","22","7.67","-0.14","7.53","108.3","100.9","102.7",".367",".015",".549",".464","15.8","37.1",".217","66.2","The Spectrum","612,203","",8,82,241.8,43.9,88,0.499,0.3,1.3,0.229,43.6,86.6,0.503,24,32.3,0.742,16.3,31.7,47.9,24.6,9.9,7,19.8,24.9,112.1,1983
